date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure
0,7.9,0.2,11.1,9.9,4.8,2.2,1.6,101604.3
1,6.0,0.1,11.8,5.3,4.9,0.9,0.2,101784.8
2,6.8,0.0,16.6,8.6,4.3,2.1,0.0,101665.6
3,6.0,2.2,30.2,10.6,5.3,1.4,0.0,102028.5
4,6.9,0.0,10.6,12.5,6.4,3.0,0.7,102217.9
5,8.0,0.0,13.4,9.6,9.2,6.4,12.5,101914.3
6,6.1,0.0,18.1,10.3,6.7,3.8,0.9,102605.3
7,6.0,6.2,57.3,10.9,6.8,3.9,0.0,103010.6
8,6.9,0.0,8.6,11.0,6.9,2.2,-0.0,103357.9
9,7.0,0.8,29.4,12.1,10.1,8.7,0.0,102746.7
10,6.0,1.5,26.8,8.7,10.1,8.5,0.0,102496.9
11,7.1,1.0,22.2,8.5,7.1,5.9,3.8,102440.4
12,1.9,6.9,44.5,9.7,4.2,0.4,0.1,102641.5
13,4.0,0.7,19.1,13.4,4.5,-0.2,0.5,102207.6
14,8.0,0.0,13.0,12.7,8.4,4.4,0.4,101937.9
15,7.1,0.1,14.9,9.3,10.8,9.6,1.6,102123.3
16,4.1,6.3,53.9,9.8,8.7,6.9,0.0,102058.2
17,3.0,7.6,63.0,10.1,5.0,0.3,0.0,102720.1
18,6.1,0.1,18.7,12.0,6.0,2.4,0.6,102158.3
19,6.0,1.3,26.9,12.6,7.6,2.9,0.3,102494.2
20,7.9,0.0,17.3,13.0,9.1,5.3,3.1,102662.2
21,7.0,3.2,36.2,10.6,11.4,10.3,3.9,102220.5
22,7.8,0.0,23.7,12.8,9.2,8.3,4.1,100579.4
23,3.8,6.9,65.5,11.7,8.0,3.0,3.5,100529.1
24,6.8,0.6,28.1,8.0,8.1,3.8,4.6,98439.6
25,5.1,3.3,39.9,9.4,4.9,2.7,0.1,99370.6
26,6.0,0.0,17.8,8.7,6.0,1.4,6.6,99403.0
27,4.1,6.7,64.7,9.5,5.7,2.8,1.2,98994.1
28,7.1,0.1,22.1,10.5,6.9,3.4,8.4,99533.0
29,6.0,2.6,47.7,10.0,8.8,6.7,10.8,99032.9
30,6.9,0.2,23.2,10.0,8.8,6.8,3.3,98860.2
31,6.1,1.8,32.7,10.3,7.8,5.8,10.1,99572.6
32,3.0,6.2,73.9,9.2,7.6,4.9,8.8,99875.3
33,4.9,1.6,47.5,11.7,7.4,5.3,15.9,100483.2
34,6.0,0.0,25.8,13.3,7.0,1.4,0.2,101788.8
35,6.1,2.3,46.4,13.1,11.3,8.1,0.1,101698.3
36,5.0,1.7,42.4,14.4,9.2,6.3,13.8,100571.3
37,8.1,-0.0,19.2,9.8,11.3,9.1,7.5,99656.2
38,3.0,8.9,93.1,11.0,8.4,6.3,0.0,101291.4
39,5.0,4.0,62.2,12.6,7.4,4.3,0.1,102444.9
40,6.9,0.1,23.0,9.2,9.3,5.5,4.1,100140.4
41,6.1,-0.0,36.2,8.8,5.4,2.0,8.2,98801.9
42,3.1,8.2,91.4,10.1,5.5,2.5,0.0,98444.8
43,7.1,0.0,24.1,7.0,6.1,1.4,4.9,99106.4
44,8.1,0.0,24.4,9.1,6.2,4.0,7.5,99415.1
45,5.1,7.1,90.3,11.6,6.3,3.7,0.2,100226.9
46,5.1,8.7,103.4,13.8,5.8,-0.5,0.1,101153.3
47,8.1,0.8,33.5,11.8,7.9,2.1,1.4,100589.7
48,5.1,6.1,87.8,12.9,8.7,5.2,0.0,101028.2
49,7.8,0.3,31.9,14.2,8.6,4.6,0.1,100818.9
50,8.1,0.1,28.0,11.6,12.0,10.6,2.0,101608.1
51,5.1,7.1,98.7,15.9,10.5,10.0,0.0,102415.4
52,4.1,8.9,108.3,18.0,11.1,5.7,0.0,103351.1
53,1.0,8.4,104.8,13.6,11.5,5.8,0.1,102853.9
54,7.1,0.1,28.4,11.3,11.3,8.9,0.6,101713.4
