date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure
0,2.1,6.2,46.5,4.6,1.6,-1.1,-0.0,100586.4
1,4.0,5.8,41.8,2.6,1.3,-2.2,0.0,101535.8
2,1.9,4.3,35.4,1.5,1.0,-0.6,0.0,102314.0
3,0.0,6.5,55.0,1.8,-1.9,-5.9,0.2,101986.6
4,7.0,0.0,15.5,1.2,-1.9,-5.7,2.0,100515.9
5,7.2,0.0,10.8,-0.2,-0.9,-2.8,2.4,100378.8
6,3.1,3.1,41.0,0.9,-2.6,-5.6,1.0,101052.1
7,3.9,2.0,28.8,1.4,-2.5,-5.4,-0.0,102168.5
8,2.0,2.1,31.3,2.3,-0.4,-3.5,0.1,102327.0
9,8.1,0.0,5.6,1.1,-0.1,-2.6,1.5,101788.5
10,8.0,0.1,20.7,2.4,1.2,-0.3,1.6,101898.8
11,8.1,0.3,15.1,2.5,1.6,0.2,0.3,101044.7
12,8.1,0.3,21.1,3.6,1.5,0.0,8.4,100074.0
13,8.1,0.0,17.0,6.4,1.6,-0.2,0.3,100480.0
14,8.0,0.1,11.2,7.5,3.7,0.1,1.6,101728.0
15,8.1,0.1,11.7,8.5,4.3,0.8,9.4,100704.1
16,1.1,6.2,49.8,7.8,6.3,1.9,0.2,101702.1
17,6.0,-0.0,16.7,7.9,4.3,0.2,-0.0,102623.5
18,7.9,0.1,14.5,3.1,6.3,3.7,0.9,102130.3
19,8.2,0.0,11.3,7.4,2.7,2.7,3.2,101316.3
20,6.9,2.1,32.2,8.6,5.5,2.2,1.0,101926.3
21,8.0,0.3,25.8,6.3,5.5,2.9,5.5,101761.2
22,6.9,0.2,20.0,6.9,6.1,5.5,-0.0,102052.7
23,7.0,0.2,12.0,5.1,5.2,3.0,1.4,102441.1
24,6.9,0.0,30.1,3.1,3.5,3.5,1.6,103197.6
25,3.8,2.9,43.4,6.2,2.1,1.9,0.1,103899.5
26,5.9,0.3,18.7,7.9,2.2,-3.3,0.3,102989.5
27,6.9,0.5,19.5,5.6,4.1,0.2,8.6,101332.1
28,5.0,1.9,36.8,4.1,4.8,4.7,0.3,99390.1
29,2.1,7.7,86.6,3.8,0.9,-1.7,0.2,100050.4
30,2.0,0.1,27.6,6.8,0.4,-2.8,-0.0,100571.2
31,1.9,4.8,61.3,8.2,2.0,-2.3,0.1,101330.3
32,7.1,0.0,21.6,8.9,4.4,0.7,1.3,100697.3
33,7.9,0.1,18.8,8.1,6.0,3.1,2.1,100784.1
34,8.0,0.2,27.3,12.4,5.8,3.8,3.1,100473.0
35,4.1,3.9,57.2,7.2,9.2,6.0,0.4,100000.4
36,7.1,2.0,45.1,5.6,5.6,4.3,0.0,101429.2
37,8.1,0.1,24.8,2.6,4.6,3.4,0.2,102294.0
38,7.9,0.0,22.5,6.0,2.6,1.8,0.6,101302.0
39,5.1,3.3,57.1,3.7,3.2,0.1,0.3,101179.1
40,4.1,4.3,62.3,3.8,2.4,1.6,0.0,101626.6
